id,firstname,lastname,email,BirthDate,campus,Academic_year,contract_type,Company,Level,global_mark,Graduated,Satisfaction,Salon_etudiant,Duree_embauche,Graduated,Satisfaction,Salon_etudiant,Duree_embauche
1959,Hope,Natica,Hope.Natica@supinfo.com,1995-09-30,Tours,2019-2020,1,RTE,Msc2,67.77,Non,45,Non,12,Non,45,Non,12
1960,Sheree,Georas,Sheree.Georas@supinfo.com,1999-09-16,Tours,2019-2020,2,Enedis,Msc2,78.7,Oui,69,Oui,6,Oui,69,Oui,6
1961,Nickie,Sidonius,Nickie.Sidonius@supinfo.com,1996-02-28,Lille,2019-2020,1,Talan,Msc1,53.72,Oui,13,Oui,18,Oui,13,Oui,18
1962,Lyssa,Ophelia,Lyssa.Ophelia@supinfo.com,1995-12-03,Paris,2019-2020,2,LCL,Msc2,45.32,Non,32,Non,6,Non,32,Non,6
1963,Camile,Dahlia,Camile.Dahlia@supinfo.com,1999-10-08,Lille,2019-2020,2,LCL,Bsc,79,Oui,20,Oui,24,Oui,20,Oui,24
1964,Corly,Giff,Corly.Giff@supinfo.com,1999-12-20,Lyon,2019-2020,1,Carrefour,Bsc,87.67,Non,55,Oui,3,Non,55,Oui,3
1965,Grier,Carbo,Grier.Carbo@supinfo.com,1997-07-09,Caen,2019-2020,1,SNCF,Msc1,91.13,Non,38,Oui,18,Non,38,Oui,18
1966,Frank,Wenoa,Frank.Wenoa@supinfo.com,1998-07-03,Caen,2019-2020,2,EDF,Msc1,71.41,Oui,43,Non,12,Oui,43,Non,12
1967,Merle,Quinn,Merle.Quinn@supinfo.com,1999-04-28,Lyon,2019-2020,1,Carrefour,Msc2,96,Non,97,Oui,18,Non,97,Oui,18
1968,Jordan,Secrest,Jordan.Secrest@supinfo.com,1998-05-26,Paris,2019-2020,2,EDF,Msc2,66.75,Non,65,Oui,6,Non,65,Oui,6
1969,Lauryn,Si,Lauryn.Si@supinfo.com,1994-09-11,Tours,2019-2020,1,Amazon,Msc1,77.71,Non,9,Oui,6,Non,9,Oui,6
1970,Deane,Aldric,Deane.Aldric@supinfo.com,1999-02-16,Lille,2019-2020,1,Engie,Msc1,77.06,Non,51,Non,18,Non,51,Non,18
1971,Britte,Elbertina,Britte.Elbertina@supinfo.com,1996-11-25,Caen,2019-2020,1,Talan,Msc2,87.33,Non,0,Oui,18,Non,0,Oui,18
1972,Kelly,Anton,Kelly.Anton@supinfo.com,1994-04-11,Lille,2019-2020,1,Enedis,Msc2,79.75,Oui,39,Non,24,Oui,39,Non,24
1973,Ingrid,Travax,Ingrid.Travax@supinfo.com,1997-08-12,Caen,2019-2020,2,Amazon,Msc1,90.3,Oui,65,Non,12,Oui,65,Non,12
1974,Orsola,Hebner,Orsola.Hebner@supinfo.com,1994-04-08,Lille,2019-2020,1,SNCF,Bsc,71.38,Non,10,Oui,24,Non,10,Oui,24
1975,Xylina,Martguerita,Xylina.Martguerita@supinfo.com,1994-02-27,Paris,2019-2020,1,BNP Paribas,Msc1,65.21,Non,2,Non,3,Non,2,Non,3
1976,Shirlee,Catie,Shirlee.Catie@supinfo.com,1998-03-15,Lille,2019-2020,2,Carrefour,Msc1,74.81,Non,24,Non,3,Non,24,Non,3
1977,Danny,Guildroy,Danny.Guildroy@supinfo.com,1999-12-16,Paris,2019-2020,2,LCL,Bsc,47.08,Oui,2,Oui,12,Oui,2,Oui,12
1978,Giustina,Laverne,Giustina.Laverne@supinfo.com,1995-01-07,Lille,2019-2020,2,LCL,Msc1,57,Non,13,Non,24,Non,13,Non,24
1979,Tressa,Hirsch,Tressa.Hirsch@supinfo.com,1999-04-13,Tours,2019-2020,2,Talan,Msc1,31.8,Oui,32,Oui,12,Oui,32,Oui,12
1980,Joleen,Tarrant,Joleen.Tarrant@supinfo.com,1997-06-03,Paris,2019-2020,1,Enedis,Bsc,87.63,Oui,19,Oui,12,Oui,19,Oui,12
1981,Ardys,Toor,Ardys.Toor@supinfo.com,1995-09-20,Lyon,2019-2020,1,Engie,Bsc,35.23,Oui,11,Non,12,Oui,11,Non,12
1982,Vonny,Yuille,Vonny.Yuille@supinfo.com,1996-07-24,Caen,2019-2020,1,BNP Paribas,Msc2,53.26,Non,24,Non,24,Non,24,Non,24
1983,Merle,Yusuk,Merle.Yusuk@supinfo.com,1998-10-30,Caen,2019-2020,2,Talan,Msc1,86.29,Oui,91,Non,6,Oui,91,Non,6
1984,Benita,Chandler,Benita.Chandler@supinfo.com,1995-05-31,Caen,2019-2020,1,Engie,Msc2,79.12,Non,80,Oui,24,Non,80,Oui,24
1985,Halette,Kimmie,Halette.Kimmie@supinfo.com,1996-05-13,Lyon,2019-2020,1,EDF,Bsc,38.43,Oui,94,Oui,24,Oui,94,Oui,24
1986,Bill,Aloise,Bill.Aloise@supinfo.com,1999-01-06,Paris,2019-2020,1,LCL,Bsc,42.88,Oui,37,Non,18,Oui,37,Non,18
1987,Leeanne,Corrine,Leeanne.Corrine@supinfo.com,1997-04-09,Lyon,2019-2020,1,SNCF,Msc2,76.79,Non,22,Non,24,Non,22,Non,24
1988,Dacia,Vorster,Dacia.Vorster@supinfo.com,1997-01-24,Lille,2019-2020,2,Engie,Bsc,33.32,Oui,59,Non,3,Oui,59,Non,3
1989,Bernie,Jotham,Bernie.Jotham@supinfo.com,1997-04-14,Lyon,2019-2020,2,Engie,Msc2,93.51,Non,96,Non,24,Non,96,Non,24
1990,Helsa,McCutcheon,Helsa.McCutcheon@supinfo.com,1994-01-14,Caen,2019-2020,2,SNCF,Msc2,89.53,Non,5,Non,3,Non,5,Non,3
1991,Joeann,Gaspard,Joeann.Gaspard@supinfo.com,1997-08-08,Caen,2019-2020,2,BNP Paribas,Msc2,63.63,Non,17,Oui,6,Non,17,Oui,6
1992,Micheline,Wareing,Micheline.Wareing@supinfo.com,1997-08-19,Paris,2019-2020,1,Carrefour,Msc1,62.28,Oui,24,Non,24,Oui,24,Non,24
1993,Robbi,Rudolph,Robbi.Rudolph@supinfo.com,1999-03-22,Caen,2019-2020,2,Engie,Msc2,43.01,Non,29,Oui,24,Non,29,Oui,24
1994,Oona,Niles,Oona.Niles@supinfo.com,1997-07-17,Lille,2019-2020,1,Engie,Msc2,56.32,Oui,25,Oui,24,Oui,25,Oui,24
1995,Corly,Maribeth,Corly.Maribeth@supinfo.com,1994-01-13,Lyon,2019-2020,2,EDF,Bsc,75.48,Non,0,Oui,24,Non,0,Oui,24
1996,Jolyn,Mallon,Jolyn.Mallon@supinfo.com,1997-03-11,Paris,2019-2020,2,Enedis,Bsc,59.18,Oui,75,Non,24,Oui,75,Non,24
1997,Krystle,Pulsifer,Krystle.Pulsifer@supinfo.com,1995-07-18,Lille,2019-2020,2,SNCF,Msc2,80.26,Oui,45,Non,6,Oui,45,Non,6
1998,Edyth,Halla,Edyth.Halla@supinfo.com,1996-02-16,Tours,2019-2020,2,SNCF,Bsc,69.09,Oui,45,Non,12,Oui,45,Non,12
1999,Dorice,Peti,Dorice.Peti@supinfo.com,1997-11-30,Lille,2019-2020,2,Capgemini,Msc1,91.4,Non,55,Non,6,Non,55,Non,6
2000,Teddie,Scammon,Teddie.Scammon@supinfo.com,1996-02-24,Lille,2019-2020,1,Amazon,Bsc,67.23,Non,75,Oui,6,Non,75,Oui,6
2001,Romona,Liebermann,Romona.Liebermann@supinfo.com,1995-08-30,Lille,2019-2020,2,Capgemini,Msc2,51.99,Non,29,Oui,24,Non,29,Oui,24
2002,Evaleen,Pyle,Evaleen.Pyle@supinfo.com,1996-06-07,Caen,2019-2020,2,Carrefour,Msc2,39.75,Non,24,Non,18,Non,24,Non,18
2003,Arlena,Girardo,Arlena.Girardo@supinfo.com,1999-09-24,Lyon,2019-2020,2,Enedis,Bsc,45.76,Non,38,Oui,12,Non,38,Oui,12
2004,Dianemarie,Meter,Dianemarie.Meter@supinfo.com,1995-06-27,Paris,2019-2020,2,LCL,Bsc,32.14,Oui,2,Oui,3,Oui,2,Oui,3
2005,Jan,Weide,Jan.Weide@supinfo.com,1997-09-15,Tours,2019-2020,1,Enedis,Msc2,43.3,Non,32,Oui,12,Non,32,Oui,12
2006,Lory,Ezar,Lory.Ezar@supinfo.com,1994-06-12,Lille,2019-2020,1,BNP Paribas,Bsc,55.55,Oui,3,Non,12,Oui,3,Non,12
2007,Veda,Peg,Veda.Peg@supinfo.com,1996-07-27,Lille,2019-2020,2,Engie,Msc2,44.39,Non,49,Non,18,Non,49,Non,18
2008,Kaja,Ursulette,Kaja.Ursulette@supinfo.com,1997-01-24,Lille,2019-2020,1,Enedis,Msc2,54.39,Non,13,Oui,12,Non,13,Oui,12
2009,Babita,Secrest,Babita.Secrest@supinfo.com,1997-05-11,Caen,2019-2020,1,RTE,Bsc,47.41,Oui,19,Non,3,Oui,19,Non,3
2010,Fredericka,Chaing,Fredericka.Chaing@supinfo.com,1994-12-10,Tours,2019-2020,2,Talan,Msc2,50.12,Non,84,Oui,6,Non,84,Oui,6
2011,Camile,Angelis,Camile.Angelis@supinfo.com,1996-03-28,Caen,2019-2020,2,Capgemini,Bsc,87.15,Non,77,Oui,6,Non,77,Oui,6
2012,Almeta,Sammons,Almeta.Sammons@supinfo.com,1995-12-15,Lyon,2019-2020,1,Enedis,Msc2,83.03,Non,61,Oui,24,Non,61,Oui,24
2013,Monika,Rebecka,Monika.Rebecka@supinfo.com,1996-07-08,Lyon,2019-2020,1,Carrefour,Msc2,86.88,Oui,12,Oui,12,Oui,12,Oui,12
2014,Dacia,Joachim,Dacia.Joachim@supinfo.com,1996-04-04,Paris,2019-2020,2,Carrefour,Bsc,50.33,Non,69,Oui,18,Non,69,Oui,18
2015,Roseline,Leonard,Roseline.Leonard@supinfo.com,1998-01-01,Lille,2019-2020,2,Carrefour,Msc1,45.93,Oui,32,Non,12,Oui,32,Non,12
2016,Elie,Estella,Elie.Estella@supinfo.com,1994-11-23,Tours,2019-2020,2,Engie,Bsc,31.36,Oui,41,Non,24,Oui,41,Non,24
2017,Yolane,Schenck,Yolane.Schenck@supinfo.com,1999-08-31,Lille,2019-2020,2,Capgemini,Bsc,37.79,Oui,74,Non,6,Oui,74,Non,6
2018,Malina,Jacqui,Malina.Jacqui@supinfo.com,1994-11-06,Paris,2019-2020,1,EDF,Msc1,89.92,Non,90,Non,18,Non,90,Non,18
2019,Lonnie,McCutcheon,Lonnie.McCutcheon@supinfo.com,1999-02-26,Caen,2019-2020,2,Talan,Msc1,58.88,Non,24,Oui,3,Non,24,Oui,3
2020,Atlanta,Esmaria,Atlanta.Esmaria@supinfo.com,1994-02-05,Caen,2019-2020,1,Amazon,Msc1,85.98,Non,24,Non,18,Non,24,Non,18
2021,Hannis,Ade,Hannis.Ade@supinfo.com,1997-05-13,Caen,2019-2020,1,RTE,Msc1,50.95,Non,49,Oui,24,Non,49,Oui,24
2022,Claresta,Schonfeld,Claresta.Schonfeld@supinfo.com,1998-06-03,Paris,2019-2020,1,RTE,Msc1,61.06,Non,32,Non,3,Non,32,Non,3
2023,Concettina,Juan,Concettina.Juan@supinfo.com,1998-03-18,Tours,2019-2020,1,Capgemini,Msc1,45.85,Oui,38,Non,3,Oui,38,Non,3
2024,Joane,Trace,Joane.Trace@supinfo.com,1996-12-26,Lille,2019-2020,2,Carrefour,Msc2,35.8,Oui,23,Oui,18,Oui,23,Oui,18
2025,Margalo,Lytton,Margalo.Lytton@supinfo.com,1996-12-19,Paris,2019-2020,2,LCL,Msc2,47.73,Oui,69,Oui,24,Oui,69,Oui,24
2026,Anthia,Gualtiero,Anthia.Gualtiero@supinfo.com,1995-07-21,Lyon,2019-2020,1,EDF,Bsc,46.74,Non,44,Oui,6,Non,44,Oui,6
2027,Cyb,Pelagias,Cyb.Pelagias@supinfo.com,1995-04-01,Tours,2019-2020,1,Enedis,Bsc,70.78,Oui,9,Non,6,Oui,9,Non,6
2028,Stacey,Tristram,Stacey.Tristram@supinfo.com,1994-10-11,Tours,2019-2020,2,SNCF,Msc2,84.22,Oui,68,Non,18,Oui,68,Non,18
2029,Queenie,Tice,Queenie.Tice@supinfo.com,1996-03-07,Caen,2019-2020,1,SNCF,Msc1,58.74,Oui,53,Oui,3,Oui,53,Oui,3
2030,Larine,Cottle,Larine.Cottle@supinfo.com,1997-04-29,Lyon,2019-2020,1,LCL,Msc2,31.79,Oui,49,Oui,6,Oui,49,Oui,6
2031,Wendi,Scammon,Wendi.Scammon@supinfo.com,1999-11-09,Lyon,2019-2020,1,Capgemini,Bsc,70.88,Oui,96,Oui,6,Oui,96,Oui,6
2032,Roxane,Orelee,Roxane.Orelee@supinfo.com,1996-06-04,Tours,2019-2020,1,Carrefour,Bsc,41.74,Oui,15,Non,3,Oui,15,Non,3
2033,Raina,Infield,Raina.Infield@supinfo.com,1996-05-17,Lyon,2019-2020,1,Engie,Msc2,77.59,Non,30,Non,24,Non,30,Non,24
2034,Ernesta,Naor,Ernesta.Naor@supinfo.com,1998-10-19,Tours,2019-2020,1,Talan,Msc1,60.26,Oui,64,Non,18,Oui,64,Non,18
2035,Lyssa,Kelula,Lyssa.Kelula@supinfo.com,1997-02-24,Tours,2019-2020,1,LCL,Msc2,33.38,Non,87,Oui,12,Non,87,Oui,12
2036,Rubie,August,Rubie.August@supinfo.com,1999-05-09,Paris,2019-2020,1,Amazon,Msc2,94.53,Non,42,Oui,18,Non,42,Oui,18
2037,Sarette,Amadas,Sarette.Amadas@supinfo.com,1995-10-08,Caen,2019-2020,1,SNCF,Msc2,82.03,Oui,48,Non,18,Oui,48,Non,18
2038,Anestassia,Brieta,Anestassia.Brieta@supinfo.com,1997-02-03,Lille,2019-2020,1,Carrefour,Msc2,55.31,Non,90,Non,18,Non,90,Non,18
2039,Fanchon,Sancho,Fanchon.Sancho@supinfo.com,1995-10-18,Paris,2019-2020,2,LCL,Msc1,79.97,Non,56,Oui,6,Non,56,Oui,6
2040,Cordi,Lalitta,Cordi.Lalitta@supinfo.com,1998-06-29,Lyon,2019-2020,1,Capgemini,Msc1,35.4,Oui,56,Oui,3,Oui,56,Oui,3
2041,Berta,Barbey,Berta.Barbey@supinfo.com,1998-09-14,Lyon,2019-2020,1,Capgemini,Msc1,63.08,Oui,99,Non,24,Oui,99,Non,24
2042,Neila,Goddard,Neila.Goddard@supinfo.com,1994-10-10,Paris,2019-2020,1,SNCF,Msc1,91.12,Non,12,Oui,6,Non,12,Oui,6
2043,Meriel,Emmaline,Meriel.Emmaline@supinfo.com,1994-11-11,Caen,2019-2020,2,SNCF,Msc2,46.41,Oui,1,Oui,3,Oui,1,Oui,3
2044,Konstance,Fulmer,Konstance.Fulmer@supinfo.com,1995-05-16,Paris,2019-2020,1,RTE,Msc1,65.76,Oui,80,Non,3,Oui,80,Non,3
2045,Cindelyn,Jarib,Cindelyn.Jarib@supinfo.com,1995-02-14,Lille,2019-2020,2,Carrefour,Msc1,30.62,Non,40,Non,18,Non,40,Non,18
2046,Lacie,Jorgan,Lacie.Jorgan@supinfo.com,1999-06-01,Paris,2019-2020,2,Capgemini,Msc1,91.16,Non,22,Non,18,Non,22,Non,18
2047,Di,Rebecka,Di.Rebecka@supinfo.com,1996-09-23,Paris,2019-2020,1,Talan,Bsc,60.75,Oui,10,Non,3,Oui,10,Non,3
2048,Jinny,Ehrman,Jinny.Ehrman@supinfo.com,1995-04-24,Caen,2019-2020,2,Talan,Msc1,34.75,Non,12,Oui,12,Non,12,Oui,12
2049,Cindelyn,Marlie,Cindelyn.Marlie@supinfo.com,1997-09-18,Lyon,2019-2020,2,Enedis,Msc2,70.16,Non,39,Oui,3,Non,39,Oui,3
2050,Caressa,Stover,Caressa.Stover@supinfo.com,1998-02-24,Paris,2019-2020,2,Carrefour,Bsc,33.47,Non,4,Oui,3,Non,4,Oui,3
2051,Tina,Rooney,Tina.Rooney@supinfo.com,1996-01-08,Paris,2019-2020,2,Amazon,Bsc,80.3,Non,28,Non,3,Non,28,Non,3
2052,Kayla,Jacobah,Kayla.Jacobah@supinfo.com,1996-05-09,Caen,2019-2020,2,RTE,Msc2,67.12,Oui,51,Oui,6,Oui,51,Oui,6
2053,Arabel,Claudine,Arabel.Claudine@supinfo.com,1995-08-05,Lyon,2019-2020,2,Amazon,Msc1,57.79,Non,79,Non,6,Non,79,Non,6
2054,Consuela,Thilda,Consuela.Thilda@supinfo.com,1997-06-09,Caen,2019-2020,1,SNCF,Bsc,59.67,Oui,25,Non,24,Oui,25,Non,24
2055,Korrie,Seligman,Korrie.Seligman@supinfo.com,1998-06-04,Paris,2019-2020,1,EDF,Bsc,41.27,Oui,49,Non,12,Oui,49,Non,12
2056,Babita,Delila,Babita.Delila@supinfo.com,1996-11-03,Tours,2019-2020,2,Carrefour,Bsc,84.81,Oui,55,Non,6,Oui,55,Non,6
2057,Dennie,Selway,Dennie.Selway@supinfo.com,1998-07-19,Caen,2019-2020,1,EDF,Msc2,46.85,Non,99,Oui,18,Non,99,Oui,18
2058,Molli,Margret,Molli.Margret@supinfo.com,1998-12-19,Paris,2019-2020,1,Amazon,Bsc,90.45,Non,60,Non,3,Non,60,Non,3
2059,Mireielle,Sherrie,Mireielle.Sherrie@supinfo.com,1996-04-01,Paris,2019-2020,1,Capgemini,Bsc,40.42,Non,81,Non,12,Non,81,Non,12
2060,Eadie,Mathilde,Eadie.Mathilde@supinfo.com,1997-02-17,Paris,2019-2020,1,EDF,Bsc,31.37,Oui,79,Non,6,Oui,79,Non,6
2061,Concettina,Tufts,Concettina.Tufts@supinfo.com,1994-06-20,Lille,2019-2020,2,Engie,Bsc,88.82,Non,77,Non,3,Non,77,Non,3
2062,Ericka,Curren,Ericka.Curren@supinfo.com,1997-10-09,Lyon,2019-2020,1,EDF,Msc2,34.4,Oui,60,Non,18,Oui,60,Non,18
2063,Meghann,Ellord,Meghann.Ellord@supinfo.com,1997-12-12,Lille,2019-2020,2,Talan,Bsc,58.35,Non,24,Oui,3,Non,24,Oui,3
2064,Kara-Lynn,Karylin,Kara-Lynn.Karylin@supinfo.com,1995-11-01,Lille,2019-2020,1,Talan,Bsc,79.85,Oui,96,Non,6,Oui,96,Non,6
2065,Gui,Rudolph,Gui.Rudolph@supinfo.com,1997-11-11,Lyon,2019-2020,1,Engie,Msc1,75.16,Non,30,Non,12,Non,30,Non,12
2066,Jillayne,Reneta,Jillayne.Reneta@supinfo.com,1999-09-29,Lyon,2019-2020,2,RTE,Msc1,57.41,Non,50,Non,3,Non,50,Non,3
2067,Mady,Monk,Mady.Monk@supinfo.com,1995-04-23,Lyon,2019-2020,1,Engie,Bsc,87.22,Oui,90,Non,6,Oui,90,Non,6
2068,Emilia,Raimondo,Emilia.Raimondo@supinfo.com,1998-09-21,Paris,2019-2020,1,Talan,Bsc,36.57,Non,17,Oui,18,Non,17,Oui,18
2069,Paola,Abernon,Paola.Abernon@supinfo.com,1999-05-01,Tours,2019-2020,1,Enedis,Msc2,31.55,Oui,37,Oui,12,Oui,37,Oui,12
2070,Aurore,Revkah,Aurore.Revkah@supinfo.com,1995-10-23,Lyon,2019-2020,1,Enedis,Msc2,79.66,Non,19,Non,3,Non,19,Non,3
2071,Sybille,Kermit,Sybille.Kermit@supinfo.com,1996-12-19,Lyon,2019-2020,2,EDF,Msc1,40.67,Oui,33,Oui,6,Oui,33,Oui,6
2072,Florie,Mayeda,Florie.Mayeda@supinfo.com,1999-01-14,Tours,2019-2020,1,LCL,Msc1,41.14,Oui,98,Oui,3,Oui,98,Oui,3
2073,Karena,Rogerio,Karena.Rogerio@supinfo.com,1998-06-28,Lyon,2019-2020,2,SNCF,Msc2,76.08,Non,13,Non,24,Non,13,Non,24
2074,Doralynne,Ciapas,Doralynne.Ciapas@supinfo.com,1996-03-27,Paris,2019-2020,1,RTE,Msc1,45.01,Non,67,Oui,6,Non,67,Oui,6
2075,Tobe,Adamsen,Tobe.Adamsen@supinfo.com,1997-09-27,Lille,2019-2020,2,Enedis,Msc2,88.13,Non,52,Non,3,Non,52,Non,3
2076,Laurene,Ciapas,Laurene.Ciapas@supinfo.com,1998-03-05,Caen,2019-2020,2,BNP Paribas,Msc2,40.6,Non,93,Non,12,Non,93,Non,12
2077,Margalo,Fiann,Margalo.Fiann@supinfo.com,1997-02-09,Lyon,2019-2020,1,RTE,Bsc,80.95,Oui,84,Non,12,Oui,84,Non,12
2078,Sara-Ann,Cassius,Sara-Ann.Cassius@supinfo.com,1994-01-06,Lyon,2019-2020,2,LCL,Bsc,82.43,Oui,51,Oui,24,Oui,51,Oui,24
2079,Merrie,Oneida,Merrie.Oneida@supinfo.com,1997-02-10,Caen,2019-2020,1,Capgemini,Msc1,64.02,Oui,58,Oui,18,Oui,58,Oui,18
2080,Brena,Destinee,Brena.Destinee@supinfo.com,1999-08-07,Lille,2019-2020,2,LCL,Msc1,80.44,Oui,1,Non,18,Oui,1,Non,18
2081,Linzy,Elvyn,Linzy.Elvyn@supinfo.com,1994-06-16,Paris,2019-2020,2,EDF,Msc1,30.89,Oui,44,Oui,18,Oui,44,Oui,18
2082,Alyssa,Allare,Alyssa.Allare@supinfo.com,1999-08-22,Lyon,2019-2020,1,Talan,Bsc,49.07,Oui,56,Non,12,Oui,56,Non,12
2083,Cordi,Dawkins,Cordi.Dawkins@supinfo.com,1999-01-10,Paris,2019-2020,1,BNP Paribas,Msc1,81.92,Oui,34,Oui,12,Oui,34,Oui,12
2084,Elise,Raychel,Elise.Raychel@supinfo.com,1999-11-16,Lille,2019-2020,2,Capgemini,Bsc,74.02,Oui,70,Oui,24,Oui,70,Oui,24
2085,Elbertina,Zamora,Elbertina.Zamora@supinfo.com,1998-12-24,Lille,2019-2020,2,Amazon,Msc1,30.35,Non,44,Oui,24,Non,44,Oui,24
2086,Ekaterina,Gabrielli,Ekaterina.Gabrielli@supinfo.com,1995-11-22,Lyon,2019-2020,2,RTE,Msc1,38.29,Non,31,Oui,18,Non,31,Oui,18
2087,Carmela,Vanni,Carmela.Vanni@supinfo.com,1999-07-15,Lyon,2019-2020,2,BNP Paribas,Msc1,86.76,Oui,2,Oui,18,Oui,2,Oui,18
2088,Phylis,Thar,Phylis.Thar@supinfo.com,1996-02-03,Paris,2019-2020,2,Engie,Msc1,60.27,Oui,43,Oui,3,Oui,43,Oui,3
2089,Clementine,Sadowski,Clementine.Sadowski@supinfo.com,1997-02-03,Caen,2019-2020,1,SNCF,Msc2,37.28,Oui,93,Oui,3,Oui,93,Oui,3
2090,Andeee,Bartlett,Andeee.Bartlett@supinfo.com,1997-10-20,Tours,2019-2020,2,LCL,Bsc,58.26,Oui,68,Non,3,Oui,68,Non,3
2091,Elora,Tryck,Elora.Tryck@supinfo.com,1997-11-29,Lille,2019-2020,1,EDF,Msc1,47.52,Non,5,Non,12,Non,5,Non,12
2092,Charmaine,Lareena,Charmaine.Lareena@supinfo.com,1997-01-26,Lyon,2019-2020,1,Carrefour,Bsc,83.21,Non,72,Oui,3,Non,72,Oui,3
2093,Oralee,Bord,Oralee.Bord@supinfo.com,1994-02-05,Caen,2019-2020,1,BNP Paribas,Msc1,60.84,Non,85,Non,12,Non,85,Non,12
2094,Sashenka,Burch,Sashenka.Burch@supinfo.com,1997-03-06,Caen,2019-2020,2,LCL,Bsc,78.19,Oui,96,Oui,18,Oui,96,Oui,18
2095,Clarice,Urias,Clarice.Urias@supinfo.com,1998-11-02,Caen,2019-2020,1,Enedis,Msc1,40.57,Non,60,Oui,18,Non,60,Oui,18
2096,Carmela,Stanwood,Carmela.Stanwood@supinfo.com,1998-08-11,Paris,2019-2020,1,EDF,Msc1,42.23,Non,91,Oui,6,Non,91,Oui,6
2097,Arlina,Ammann,Arlina.Ammann@supinfo.com,1998-08-03,Tours,2019-2020,1,Engie,Msc2,72.24,Non,69,Non,6,Non,69,Non,6
2098,Wanda,Skurnik,Wanda.Skurnik@supinfo.com,1994-12-23,Tours,2019-2020,2,Talan,Msc1,31.55,Non,98,Oui,24,Non,98,Oui,24
2099,Tami,Halsey,Tami.Halsey@supinfo.com,1996-08-10,Paris,2019-2020,2,Talan,Bsc,89.84,Oui,51,Non,24,Oui,51,Non,24
2100,Talya,Sherfield,Talya.Sherfield@supinfo.com,1997-05-07,Tours,2019-2020,2,LCL,Msc2,86.96,Non,40,Oui,24,Non,40,Oui,24
2101,Randa,Irmine,Randa.Irmine@supinfo.com,1995-12-09,Paris,2019-2020,2,Capgemini,Msc1,86.97,Oui,36,Non,18,Oui,36,Non,18
2102,Angela,Love,Angela.Love@supinfo.com,1996-12-30,Lille,2019-2020,2,SNCF,Msc2,42.36,Oui,72,Non,12,Oui,72,Non,12
2103,Josephine,Vary,Josephine.Vary@supinfo.com,1997-05-06,Paris,2019-2020,1,LCL,Msc1,53.75,Non,72,Oui,3,Non,72,Oui,3
2104,Tierney,Melan,Tierney.Melan@supinfo.com,1996-01-26,Tours,2019-2020,1,Capgemini,Msc2,94.12,Non,85,Non,18,Non,85,Non,18
2105,Feliza,Yusuk,Feliza.Yusuk@supinfo.com,1999-06-11,Paris,2019-2020,2,Enedis,Msc1,44.38,Non,60,Oui,3,Non,60,Oui,3
2106,Tilly,Urania,Tilly.Urania@supinfo.com,1997-12-29,Tours,2019-2020,1,BNP Paribas,Bsc,63.96,Oui,1,Oui,12,Oui,1,Oui,12
2107,Ernesta,Chandler,Ernesta.Chandler@supinfo.com,1999-05-29,Tours,2019-2020,1,Engie,Bsc,33.05,Non,88,Non,3,Non,88,Non,3
2108,Alejandra,Aida,Alejandra.Aida@supinfo.com,1997-04-02,Lyon,2019-2020,2,Engie,Bsc,64.2,Non,86,Oui,24,Non,86,Oui,24
2109,Chere,Gusella,Chere.Gusella@supinfo.com,1996-10-12,Tours,2019-2020,1,Enedis,Bsc,42.53,Oui,92,Oui,24,Oui,92,Oui,24
2110,Tersina,Astra,Tersina.Astra@supinfo.com,1995-10-17,Lyon,2019-2020,2,RTE,Bsc,40.79,Oui,63,Non,12,Oui,63,Non,12
2111,Cacilie,Chandler,Cacilie.Chandler@supinfo.com,1997-01-05,Lille,2019-2020,1,EDF,Bsc,92.47,Non,35,Oui,18,Non,35,Oui,18
2112,Maye,Bettine,Maye.Bettine@supinfo.com,1994-02-20,Lyon,2019-2020,2,Amazon,Msc1,91.36,Oui,39,Non,18,Oui,39,Non,18
2113,Lyssa,Lubin,Lyssa.Lubin@supinfo.com,1997-06-19,Lille,2019-2020,2,Talan,Bsc,49.12,Oui,72,Non,3,Oui,72,Non,3
2114,Flory,Weitman,Flory.Weitman@supinfo.com,1997-11-17,Tours,2019-2020,1,RTE,Msc2,88.01,Non,90,Non,3,Non,90,Non,3
2115,Margalo,Nerita,Margalo.Nerita@supinfo.com,1999-09-06,Paris,2019-2020,1,EDF,Msc2,48.17,Oui,33,Non,12,Oui,33,Non,12
2116,Dominga,Terrence,Dominga.Terrence@supinfo.com,1996-08-04,Lyon,2019-2020,1,Capgemini,Msc2,70.85,Oui,13,Oui,6,Oui,13,Oui,6
2117,Lolita,Ball,Lolita.Ball@supinfo.com,1999-06-06,Paris,2019-2020,2,BNP Paribas,Bsc,91.45,Oui,34,Oui,6,Oui,34,Oui,6
2118,Madelle,Maiah,Madelle.Maiah@supinfo.com,1994-06-28,Paris,2019-2020,2,SNCF,Bsc,63.94,Oui,60,Non,6,Oui,60,Non,6
2119,Codie,Stanwood,Codie.Stanwood@supinfo.com,1996-04-08,Caen,2019-2020,2,Engie,Msc2,62.16,Oui,99,Oui,6,Oui,99,Oui,6
2120,Nikki,Vharat,Nikki.Vharat@supinfo.com,1999-07-28,Tours,2019-2020,2,LCL,Msc1,34.2,Oui,19,Oui,18,Oui,19,Oui,18
2121,Annabela,Saree,Annabela.Saree@supinfo.com,1997-07-17,Caen,2019-2020,1,Enedis,Msc2,64.64,Oui,7,Non,18,Oui,7,Non,18
