id,firstname,lastname,email,BirthDate,campus,Academic_year,contract_type,Company,Level,global_mark
3155,Alex,Elvyn,Alex.Elvyn@supinfo.com,1998-04-12,Lyon,2019-2020,2,Engie,Msc1,62.39
3156,Minda,Autrey,Minda.Autrey@supinfo.com,1996-02-05,Caen,2019-2020,2,Capgemini,Msc2,55.85
3157,Arlina,Seligman,Arlina.Seligman@supinfo.com,1997-07-10,Paris,2019-2020,1,Talan,Bsc,88.5
3158,Lanae,Magnolia,Lanae.Magnolia@supinfo.com,1996-02-13,Lyon,2019-2020,1,Enedis,Msc2,40.36
3159,Karolina,Bigner,Karolina.Bigner@supinfo.com,1996-10-07,Caen,2019-2020,1,Amazon,Msc2,75.25
3160,Fayre,Karylin,Fayre.Karylin@supinfo.com,1996-07-12,Tours,2019-2020,2,Enedis,Bsc,95
3161,Nonnah,Sigfrid,Nonnah.Sigfrid@supinfo.com,1994-09-16,Paris,2019-2020,2,SNCF,Msc1,89.56
3162,Atlanta,Ricki,Atlanta.Ricki@supinfo.com,1999-02-24,Tours,2019-2020,2,LCL,Msc1,62.34
3163,Melina,Aprile,Melina.Aprile@supinfo.com,1999-07-12,Caen,2019-2020,1,Enedis,Bsc,95.71
3164,Meg,Maurine,Meg.Maurine@supinfo.com,1997-12-22,Tours,2019-2020,1,EDF,Msc2,60.55
3165,Fina,Ovid,Fina.Ovid@supinfo.com,1999-02-17,Caen,2019-2020,2,Talan,Bsc,59.54
3166,Darci,Masao,Darci.Masao@supinfo.com,1999-11-22,Tours,2019-2020,1,Carrefour,Msc1,31.13
3167,Kimmy,Jess,Kimmy.Jess@supinfo.com,1998-07-13,Lille,2019-2020,1,Amazon,Msc2,91.53
3168,Ketti,Gherardo,Ketti.Gherardo@supinfo.com,1996-07-11,Caen,2019-2020,1,RTE,Msc2,89.25
3169,Odessa,Leonard,Odessa.Leonard@supinfo.com,1995-09-02,Lille,2019-2020,1,Talan,Msc2,45.89
3170,Grier,Grayce,Grier.Grayce@supinfo.com,1998-10-15,Paris,2019-2020,1,LCL,Msc1,47.01
3171,Heddie,Matthew,Heddie.Matthew@supinfo.com,1995-11-07,Tours,2019-2020,1,Engie,Msc1,81.68
3172,Brynna,Love,Brynna.Love@supinfo.com,1998-02-28,Caen,2019-2020,2,SNCF,Msc1,52.34
3173,Amalie,Kiersten,Amalie.Kiersten@supinfo.com,1996-10-22,Lyon,2019-2020,2,Talan,Msc1,44.43
3174,Renie,Abbot,Renie.Abbot@supinfo.com,1998-11-30,Lyon,2019-2020,2,Carrefour,Msc2,64.25
3175,Arlina,Noman,Arlina.Noman@supinfo.com,1997-08-10,Caen,2019-2020,1,BNP Paribas,Msc2,64.62
3176,Rosene,Ardra,Rosene.Ardra@supinfo.com,1995-08-03,Caen,2019-2020,2,BNP Paribas,Msc2,30.01
3177,Cassandra,Hylan,Cassandra.Hylan@supinfo.com,1997-06-21,Lille,2019-2020,2,Carrefour,Msc2,94.41
3178,Ketti,Olnee,Ketti.Olnee@supinfo.com,1996-05-14,Caen,2019-2020,2,Engie,Msc2,52.4
3179,Celene,Melony,Celene.Melony@supinfo.com,1994-02-24,Lille,2019-2020,2,Engie,Msc1,49.32
3180,Myriam,Morehouse,Myriam.Morehouse@supinfo.com,1999-02-28,Tours,2019-2020,2,Carrefour,Msc1,64.16
3181,Dawn,Arley,Dawn.Arley@supinfo.com,1994-01-13,Paris,2019-2020,2,Talan,Msc2,50.95
3182,Madelle,Modie,Madelle.Modie@supinfo.com,1994-05-19,Tours,2019-2020,1,BNP Paribas,Bsc,68.35
3183,Randa,Gwenore,Randa.Gwenore@supinfo.com,1998-09-03,Lille,2019-2020,1,Amazon,Msc1,46.23
3184,Dorthy,Leonard,Dorthy.Leonard@supinfo.com,1998-01-21,Tours,2019-2020,2,EDF,Msc2,71.48
3185,Hettie,Whiffen,Hettie.Whiffen@supinfo.com,1997-02-09,Tours,2019-2020,1,BNP Paribas,Msc2,58.75
3186,Bibby,Lewes,Bibby.Lewes@supinfo.com,1996-11-16,Caen,2019-2020,2,Talan,Msc2,67.21
3187,Paola,Evangelia,Paola.Evangelia@supinfo.com,1996-04-05,Paris,2019-2020,1,Capgemini,Bsc,73.57
3188,Hermione,Sigfrid,Hermione.Sigfrid@supinfo.com,1997-09-11,Paris,2019-2020,2,Capgemini,Msc2,67.5
3189,Chere,Camden,Chere.Camden@supinfo.com,1998-03-23,Lyon,2019-2020,1,Enedis,Bsc,46.83
3190,Bibby,Noam,Bibby.Noam@supinfo.com,1995-12-27,Paris,2019-2020,1,EDF,Msc2,67.38
3191,Vinita,Tatianas,Vinita.Tatianas@supinfo.com,1996-12-27,Caen,2019-2020,2,SNCF,Msc1,80.97
3192,Johna,Heisel,Johna.Heisel@supinfo.com,1998-09-15,Lille,2019-2020,2,RTE,Bsc,94.08
3193,Annora,Schonfeld,Annora.Schonfeld@supinfo.com,1996-05-06,Lyon,2019-2020,2,BNP Paribas,Msc1,31.91
3194,Chastity,Maisey,Chastity.Maisey@supinfo.com,1995-01-24,Tours,2019-2020,2,Capgemini,Bsc,79.79
3195,Flo,Burkle,Flo.Burkle@supinfo.com,1998-05-10,Lyon,2019-2020,2,Engie,Bsc,89.71
3196,Kirstin,Ephrem,Kirstin.Ephrem@supinfo.com,1996-10-23,Tours,2019-2020,2,Amazon,Msc1,80.64
3197,Tami,Heidt,Tami.Heidt@supinfo.com,1995-02-28,Tours,2019-2020,1,Engie,Msc2,74.29
3198,Brena,Vivle,Brena.Vivle@supinfo.com,1995-12-19,Lyon,2019-2020,2,Engie,Msc1,75.19
3199,Kaia,Morehouse,Kaia.Morehouse@supinfo.com,1998-07-26,Lille,2019-2020,1,Amazon,Bsc,87.27
3200,Adore,Rese,Adore.Rese@supinfo.com,1996-04-01,Lyon,2019-2020,1,Carrefour,Msc1,95.73
3201,Florencia,Harriman,Florencia.Harriman@supinfo.com,1994-05-27,Tours,2019-2020,2,Engie,Msc2,54.53
3202,Raf,Sholley,Raf.Sholley@supinfo.com,1997-01-22,Tours,2019-2020,2,Talan,Msc1,81.54
3203,Lelah,Dorothy,Lelah.Dorothy@supinfo.com,1997-10-26,Caen,2019-2020,1,Carrefour,Msc1,73.82
3204,Catrina,Denis,Catrina.Denis@supinfo.com,1997-07-23,Paris,2019-2020,1,Enedis,Msc2,48.68
3205,Christian,Freddi,Christian.Freddi@supinfo.com,1994-03-25,Lyon,2019-2020,1,RTE,Msc2,58.69
3206,Fernande,Vins,Fernande.Vins@supinfo.com,1999-02-26,Caen,2019-2020,1,BNP Paribas,Msc1,44.43
3207,Ernesta,Strephon,Ernesta.Strephon@supinfo.com,1994-04-16,Lille,2019-2020,1,Talan,Bsc,56.37
3208,Evaleen,Wandie,Evaleen.Wandie@supinfo.com,1997-07-27,Lille,2019-2020,1,Enedis,Msc1,77.04
3209,Cacilie,Richers,Cacilie.Richers@supinfo.com,1994-01-30,Tours,2019-2020,2,Amazon,Msc2,51.75
3210,Ursulina,Chaing,Ursulina.Chaing@supinfo.com,1996-08-19,Caen,2019-2020,2,Amazon,Msc2,32.38
3211,Marita,Center,Marita.Center@supinfo.com,1994-02-05,Tours,2019-2020,2,Amazon,Msc2,34.79
3212,Cacilie,Roxanna,Cacilie.Roxanna@supinfo.com,1995-03-21,Tours,2019-2020,2,Talan,Msc1,74.59
3213,Michaelina,Alabaster,Michaelina.Alabaster@supinfo.com,1999-12-17,Tours,2019-2020,1,RTE,Msc1,48.67
3214,Concettina,Schwejda,Concettina.Schwejda@supinfo.com,1996-01-17,Paris,2019-2020,1,EDF,Msc1,30.66
3215,Daune,Roscoe,Daune.Roscoe@supinfo.com,1999-01-19,Lyon,2019-2020,1,Talan,Bsc,73.71
3216,Stacey,Argus,Stacey.Argus@supinfo.com,1997-07-08,Caen,2019-2020,1,EDF,Msc2,46.65
3217,Susette,Felizio,Susette.Felizio@supinfo.com,1994-12-21,Lyon,2019-2020,1,Capgemini,Bsc,35.69
3218,Louella,Pierette,Louella.Pierette@supinfo.com,1995-03-21,Tours,2019-2020,1,SNCF,Msc1,70.08
3219,Kate,Morrill,Kate.Morrill@supinfo.com,1994-09-19,Paris,2019-2020,1,LCL,Msc2,86
3220,Carol-Jean,Chapland,Carol-Jean.Chapland@supinfo.com,1998-02-10,Caen,2019-2020,1,Amazon,Msc1,90.83
3221,Evaleen,Bettine,Evaleen.Bettine@supinfo.com,1998-10-12,Paris,2019-2020,2,Amazon,Msc1,45.13
3222,Annaliese,Fillbert,Annaliese.Fillbert@supinfo.com,1994-12-19,Paris,2019-2020,2,Engie,Bsc,79.6
3223,Stephanie,Kendrick,Stephanie.Kendrick@supinfo.com,1997-10-06,Tours,2019-2020,1,Capgemini,Msc1,83.11
3224,Jordan,Alabaster,Jordan.Alabaster@supinfo.com,1996-09-03,Caen,2019-2020,1,Engie,Msc1,91.96
3225,Max,Toor,Max.Toor@supinfo.com,1998-11-03,Caen,2019-2020,2,Amazon,Msc2,94.58
3226,Vevay,Corabella,Vevay.Corabella@supinfo.com,1996-02-08,Paris,2019-2020,1,RTE,Msc1,63.49
3227,Jordan,Laurianne,Jordan.Laurianne@supinfo.com,1996-12-05,Caen,2019-2020,2,LCL,Msc2,64.65
3228,Karolina,Paton,Karolina.Paton@supinfo.com,1996-11-15,Caen,2019-2020,1,EDF,Bsc,48.38
3229,Hermione,Harriman,Hermione.Harriman@supinfo.com,1995-09-05,Lyon,2019-2020,1,Amazon,Msc2,56.2
3230,Dianemarie,Burch,Dianemarie.Burch@supinfo.com,1997-10-15,Paris,2019-2020,1,Talan,Msc2,92.17
3231,Tamqrah,Saint,Tamqrah.Saint@supinfo.com,1994-06-18,Paris,2019-2020,1,RTE,Bsc,72.33
3232,Kenna,Urania,Kenna.Urania@supinfo.com,1998-10-11,Caen,2019-2020,1,RTE,Msc1,32.95
3233,Georgina,Azeria,Georgina.Azeria@supinfo.com,1994-12-19,Tours,2019-2020,2,Talan,Bsc,78.28
3234,Giustina,Tound,Giustina.Tound@supinfo.com,1996-01-08,Tours,2019-2020,2,RTE,Msc1,79.6
3235,Mady,Faro,Mady.Faro@supinfo.com,1994-01-10,Lille,2019-2020,2,RTE,Bsc,67.43
3236,Janey,Ochs,Janey.Ochs@supinfo.com,1994-05-07,Paris,2019-2020,1,SNCF,Msc1,74.96
3237,Kylynn,Rosalba,Kylynn.Rosalba@supinfo.com,1997-05-08,Lyon,2019-2020,2,Amazon,Msc2,42.54
3238,Jorry,Reneta,Jorry.Reneta@supinfo.com,1996-06-12,Lyon,2019-2020,1,EDF,Bsc,35.88
3239,Calla,Orelee,Calla.Orelee@supinfo.com,1998-01-26,Paris,2019-2020,1,Engie,Msc2,31.01
3240,Caressa,Rosalba,Caressa.Rosalba@supinfo.com,1999-10-31,Caen,2019-2020,2,SNCF,Bsc,55.88
3241,Anallese,Callista,Anallese.Callista@supinfo.com,1998-04-10,Caen,2019-2020,1,EDF,Msc2,95.98
3242,Nannie,Westphal,Nannie.Westphal@supinfo.com,1997-06-01,Lyon,2019-2020,1,Enedis,Msc2,41.48
3243,Kaia,Mehalek,Kaia.Mehalek@supinfo.com,1995-07-09,Tours,2019-2020,2,Enedis,Msc1,45.43
3244,Alameda,Dahlia,Alameda.Dahlia@supinfo.com,1995-09-10,Tours,2019-2020,1,RTE,Bsc,48.9
3245,Arlina,Kelula,Arlina.Kelula@supinfo.com,1998-01-22,Lille,2019-2020,1,Enedis,Bsc,38.97
3246,Shell,Carleen,Shell.Carleen@supinfo.com,1997-09-19,Caen,2019-2020,1,SNCF,Msc1,66.49
3247,Elyssa,Reinke,Elyssa.Reinke@supinfo.com,1999-07-26,Lyon,2019-2020,1,Enedis,Msc1,44.83
3248,Chickie,Luhe,Chickie.Luhe@supinfo.com,1994-02-28,Lille,2019-2020,1,LCL,Bsc,33.88
3249,Dione,Schonfeld,Dione.Schonfeld@supinfo.com,1995-07-13,Paris,2019-2020,2,Amazon,Bsc,48.1
3250,Nataline,Loring,Nataline.Loring@supinfo.com,1994-11-10,Tours,2019-2020,1,LCL,Msc2,81.75
3251,Netty,Auberbach,Netty.Auberbach@supinfo.com,1995-03-22,Lille,2019-2020,2,BNP Paribas,Msc2,68.26
3252,Karly,Byrne,Karly.Byrne@supinfo.com,1995-09-21,Caen,2019-2020,1,Engie,Bsc,94.96
3253,Beverley,Ailyn,Beverley.Ailyn@supinfo.com,1997-03-30,Lyon,2019-2020,2,Carrefour,Bsc,36.31
3254,Kristina,Thunell,Kristina.Thunell@supinfo.com,1997-03-24,Paris,2019-2020,2,RTE,Bsc,87.19
3255,Brena,Lalitta,Brena.Lalitta@supinfo.com,1997-04-05,Caen,2019-2020,1,Capgemini,Msc1,68.73
3256,Reeba,Brotherson,Reeba.Brotherson@supinfo.com,1995-03-20,Paris,2019-2020,1,RTE,Msc2,36.88
3257,Agnese,Obed,Agnese.Obed@supinfo.com,1997-09-15,Caen,2019-2020,2,Capgemini,Msc1,43.48
3258,Orelia,Waite,Orelia.Waite@supinfo.com,1994-09-17,Caen,2019-2020,1,EDF,Bsc,91.56
3259,Kimberley,Carbo,Kimberley.Carbo@supinfo.com,1995-06-15,Tours,2019-2020,1,EDF,Bsc,62.88
3260,Marline,Sikorski,Marline.Sikorski@supinfo.com,1995-06-30,Caen,2019-2020,2,Capgemini,Msc2,76.65
3261,Max,McAdams,Max.McAdams@supinfo.com,1999-06-21,Caen,2019-2020,1,LCL,Bsc,67.81
3262,Clo,Ramona,Clo.Ramona@supinfo.com,1996-02-04,Tours,2019-2020,1,RTE,Msc1,78.94
3263,Renae,Weaks,Renae.Weaks@supinfo.com,1999-10-14,Lyon,2019-2020,1,Capgemini,Bsc,77.61
3264,Imojean,Zetta,Imojean.Zetta@supinfo.com,1996-09-12,Caen,2019-2020,1,Carrefour,Msc1,81.77
3265,Shaylyn,Hepsibah,Shaylyn.Hepsibah@supinfo.com,1996-11-21,Paris,2019-2020,2,Amazon,Msc1,47.46
3266,Kylynn,Valerio,Kylynn.Valerio@supinfo.com,1995-12-05,Lyon,2019-2020,2,BNP Paribas,Msc2,40.79
3267,Dagmar,Dichy,Dagmar.Dichy@supinfo.com,1998-02-25,Lille,2019-2020,1,Amazon,Bsc,43.88
3268,Deedee,Merat,Deedee.Merat@supinfo.com,1997-11-28,Lille,2019-2020,2,SNCF,Msc2,50.93
3269,Katuscha,Presber,Katuscha.Presber@supinfo.com,1999-07-18,Paris,2019-2020,2,Capgemini,Msc2,44.96
3270,Nelle,Reneta,Nelle.Reneta@supinfo.com,1997-04-02,Paris,2019-2020,2,Amazon,Msc1,88.79
3271,Sindee,Yam,Sindee.Yam@supinfo.com,1999-03-25,Tours,2019-2020,2,Enedis,Msc2,55.24
3272,Genevra,Harday,Genevra.Harday@supinfo.com,1997-08-04,Caen,2019-2020,1,Carrefour,Msc2,51.39
3273,Deedee,Poll,Deedee.Poll@supinfo.com,1998-11-10,Paris,2019-2020,2,Engie,Msc1,79.56
3274,Romona,Oscar,Romona.Oscar@supinfo.com,1994-04-09,Paris,2019-2020,1,RTE,Bsc,37.01
3275,Corene,Ludewig,Corene.Ludewig@supinfo.com,1997-08-07,Lille,2019-2020,2,Talan,Msc1,70.39
3276,Madalyn,Junie,Madalyn.Junie@supinfo.com,1994-07-30,Caen,2019-2020,2,RTE,Msc2,70.45
3277,Hope,Marlie,Hope.Marlie@supinfo.com,1994-08-13,Lille,2019-2020,2,Amazon,Msc2,46.23
3278,Tressa,Vastah,Tressa.Vastah@supinfo.com,1998-10-21,Caen,2019-2020,1,SNCF,Bsc,49.5
3279,Perry,Riordan,Perry.Riordan@supinfo.com,1997-07-06,Lyon,2019-2020,1,Carrefour,Msc1,50.56
3280,Wilma,Belanger,Wilma.Belanger@supinfo.com,1996-12-04,Lyon,2019-2020,2,Amazon,Bsc,64.9
3281,Berget,Winnick,Berget.Winnick@supinfo.com,1998-06-17,Lille,2019-2020,1,Capgemini,Bsc,69.53
3282,Peri,Jotham,Peri.Jotham@supinfo.com,1996-01-04,Lyon,2019-2020,2,Talan,Msc2,80.07
3283,Rosaline,Klemperer,Rosaline.Klemperer@supinfo.com,1996-05-08,Lyon,2019-2020,2,Carrefour,Msc1,71.11
3284,Steffane,Darrell,Steffane.Darrell@supinfo.com,1995-07-04,Tours,2019-2020,2,Enedis,Msc1,34.73
3285,Tressa,Leffen,Tressa.Leffen@supinfo.com,1995-09-24,Lille,2019-2020,2,Carrefour,Msc2,70.78
3286,Kelly,Francene,Kelly.Francene@supinfo.com,1997-04-28,Lille,2019-2020,1,LCL,Msc1,41.74
3287,Zondra,Tound,Zondra.Tound@supinfo.com,1999-05-08,Paris,2019-2020,1,Enedis,Bsc,82.58
3288,Sam,Carolin,Sam.Carolin@supinfo.com,1996-01-25,Tours,2019-2020,2,LCL,Bsc,33.82
3289,Ardenia,Kress,Ardenia.Kress@supinfo.com,1998-11-23,Tours,2019-2020,2,RTE,Msc2,72.13
3290,Gwyneth,Cottle,Gwyneth.Cottle@supinfo.com,1996-04-28,Caen,2019-2020,1,LCL,Msc1,33.29
3291,Meghann,Reinke,Meghann.Reinke@supinfo.com,1996-04-06,Caen,2019-2020,1,Carrefour,Bsc,57.83
3292,Brynna,Lea,Brynna.Lea@supinfo.com,1998-11-09,Lyon,2019-2020,2,Talan,Bsc,50.58
3293,Beth,Bobbee,Beth.Bobbee@supinfo.com,1995-11-24,Lyon,2019-2020,1,SNCF,Msc1,41.5
3294,Aurore,Whiffen,Aurore.Whiffen@supinfo.com,1995-06-11,Caen,2019-2020,2,EDF,Msc1,89.37
3295,Joceline,Nerita,Joceline.Nerita@supinfo.com,1999-10-19,Lyon,2019-2020,1,RTE,Msc1,30.12
3296,Glynnis,Urania,Glynnis.Urania@supinfo.com,1997-12-25,Paris,2019-2020,2,Enedis,Msc1,31.28
3297,Karolina,Teryn,Karolina.Teryn@supinfo.com,1999-09-02,Lyon,2019-2020,2,Capgemini,Msc2,57.89
3298,Netty,Aaberg,Netty.Aaberg@supinfo.com,1998-01-12,Paris,2019-2020,1,Amazon,Bsc,80.29
3299,Elsie,Wareing,Elsie.Wareing@supinfo.com,1998-08-03,Tours,2019-2020,1,Amazon,Bsc,82.26
3300,Nelle,Swanhildas,Nelle.Swanhildas@supinfo.com,1998-06-21,Lille,2019-2020,2,SNCF,Msc1,83.69
3301,Evita,Roscoe,Evita.Roscoe@supinfo.com,1999-10-09,Caen,2019-2020,1,Carrefour,Msc2,77.42
3302,Joeann,Geffner,Joeann.Geffner@supinfo.com,1999-11-20,Caen,2019-2020,2,LCL,Msc1,93.42
3303,Ottilie,Oneida,Ottilie.Oneida@supinfo.com,1996-07-02,Lille,2019-2020,2,Engie,Msc1,74.37
3304,Darlleen,Heisel,Darlleen.Heisel@supinfo.com,1996-10-20,Lyon,2019-2020,1,Amazon,Msc1,42.17
3305,Wileen,Cherianne,Wileen.Cherianne@supinfo.com,1995-07-09,Paris,2019-2020,1,RTE,Msc2,52.89
3306,Belva,Laurianne,Belva.Laurianne@supinfo.com,1994-07-18,Lyon,2019-2020,1,Engie,Bsc,35.97
3307,Latisha,Auberbach,Latisha.Auberbach@supinfo.com,1996-06-19,Tours,2019-2020,1,SNCF,Msc2,43.19
3308,Violet,Bollay,Violet.Bollay@supinfo.com,1995-09-05,Lyon,2019-2020,1,Talan,Msc1,47.81
3309,Jordan,Ferino,Jordan.Ferino@supinfo.com,1996-11-09,Lille,2019-2020,2,Engie,Msc2,87.57
3310,Evaleen,Vharat,Evaleen.Vharat@supinfo.com,1996-11-18,Lille,2019-2020,2,RTE,Bsc,75.78
3311,Glenda,Hachmin,Glenda.Hachmin@supinfo.com,1995-08-04,Lille,2019-2020,1,Amazon,Msc2,95.49
3312,Ezmeralda,Brandice,Ezmeralda.Brandice@supinfo.com,1997-06-29,Caen,2019-2020,2,BNP Paribas,Bsc,83.99
3313,Blondelle,Poppy,Blondelle.Poppy@supinfo.com,1994-12-20,Paris,2019-2020,1,Talan,Msc2,90.92
3314,Marylou,Brunell,Marylou.Brunell@supinfo.com,1996-11-12,Caen,2019-2020,1,RTE,Bsc,39.92
3315,Ayn,Albertine,Ayn.Albertine@supinfo.com,1995-11-11,Paris,2019-2020,1,BNP Paribas,Bsc,79.37
3316,Ann-Marie,Winnick,Ann-Marie.Winnick@supinfo.com,1997-12-22,Tours,2019-2020,2,Capgemini,Msc1,86.7
3317,Olwen,Gemini,Olwen.Gemini@supinfo.com,1995-06-24,Lille,2019-2020,2,BNP Paribas,Bsc,66.56
3318,Kore,Lytton,Kore.Lytton@supinfo.com,1996-11-04,Tours,2019-2020,2,SNCF,Msc1,89.44
3319,Sybille,Anselmi,Sybille.Anselmi@supinfo.com,1994-02-16,Tours,2019-2020,2,Carrefour,Bsc,73.96
3320,Paulita,Kaja,Paulita.Kaja@supinfo.com,1997-10-30,Lyon,2019-2020,1,Capgemini,Msc2,32.13
3321,Maisey,Sawtelle,Maisey.Sawtelle@supinfo.com,1998-04-10,Paris,2019-2020,1,SNCF,Bsc,40.41
3322,Farrah,Mozelle,Farrah.Mozelle@supinfo.com,1998-01-21,Caen,2019-2020,2,Amazon,Msc1,76.07
3323,Shauna,Toffic,Shauna.Toffic@supinfo.com,1997-07-31,Lille,2019-2020,2,SNCF,Msc2,66.64
3324,Judy,Sacken,Judy.Sacken@supinfo.com,1999-04-16,Lille,2019-2020,1,SNCF,Msc2,87.92
3325,Kial,Hepsibah,Kial.Hepsibah@supinfo.com,1999-04-24,Paris,2019-2020,2,EDF,Msc2,42.16
3326,Maurene,Beebe,Maurene.Beebe@supinfo.com,1995-09-28,Paris,2019-2020,2,Capgemini,Msc2,46.68
3327,Caressa,Wildermuth,Caressa.Wildermuth@supinfo.com,1994-03-08,Lyon,2019-2020,2,Enedis,Bsc,67.67
3328,Robbi,Alejoa,Robbi.Alejoa@supinfo.com,1997-01-16,Lyon,2019-2020,2,RTE,Bsc,40.29
3329,Willetta,Bebe,Willetta.Bebe@supinfo.com,1995-10-06,Lille,2019-2020,2,Engie,Msc2,40.39
3330,Paola,Tacye,Paola.Tacye@supinfo.com,1998-10-10,Tours,2019-2020,2,EDF,Msc2,45.5
3331,Janis,Lorenz,Janis.Lorenz@supinfo.com,1994-09-29,Caen,2019-2020,2,EDF,Msc1,86.66
3332,Jeanna,Weinreb,Jeanna.Weinreb@supinfo.com,1994-09-10,Lille,2019-2020,1,SNCF,Bsc,80.02
3333,Anestassia,Voletta,Anestassia.Voletta@supinfo.com,1997-08-15,Lyon,2019-2020,1,LCL,Bsc,64.02
3334,Tobe,Raffo,Tobe.Raffo@supinfo.com,1999-05-15,Lyon,2019-2020,1,SNCF,Msc2,93.36
3335,Britni,Pernick,Britni.Pernick@supinfo.com,1999-04-04,Lille,2019-2020,1,Amazon,Msc2,39.52
3336,Eolanda,Ricarda,Eolanda.Ricarda@supinfo.com,1995-02-10,Caen,2019-2020,2,LCL,Msc1,91.82
3337,Claresta,Trey,Claresta.Trey@supinfo.com,1996-02-15,Lille,2019-2020,1,BNP Paribas,Msc1,90.96
3338,Rosabelle,Lunsford,Rosabelle.Lunsford@supinfo.com,1997-01-24,Lyon,2019-2020,1,SNCF,Msc2,73.24
3339,Hyacinthe,Chem,Hyacinthe.Chem@supinfo.com,1996-11-27,Tours,2019-2020,2,SNCF,Msc2,45.35
3340,Pierette,Mike,Pierette.Mike@supinfo.com,1996-03-08,Paris,2019-2020,1,Enedis,Bsc,92.14
3341,Bee,Haerr,Bee.Haerr@supinfo.com,1997-07-12,Tours,2019-2020,2,SNCF,Msc1,61.43
3342,Hayley,Neils,Hayley.Neils@supinfo.com,1997-06-07,Lille,2019-2020,2,Carrefour,Msc1,53.72
3343,Cassandra,Tice,Cassandra.Tice@supinfo.com,1999-06-13,Tours,2019-2020,2,Engie,Bsc,71.09
3344,Nessie,Ulphia,Nessie.Ulphia@supinfo.com,1996-09-15,Lyon,2019-2020,2,Talan,Bsc,67.2
3345,Alameda,August,Alameda.August@supinfo.com,1997-08-26,Tours,2019-2020,2,EDF,Msc2,38.5
3346,Tamqrah,Jammal,Tamqrah.Jammal@supinfo.com,1999-05-19,Paris,2019-2020,2,Carrefour,Msc1,53.62
3347,Valli,McAdams,Valli.McAdams@supinfo.com,1994-02-16,Caen,2019-2020,2,Enedis,Bsc,86.82
3348,Daphne,Corabella,Daphne.Corabella@supinfo.com,1998-11-24,Caen,2019-2020,1,SNCF,Msc2,35.41
3349,Jere,Bashemeth,Jere.Bashemeth@supinfo.com,1997-04-29,Lyon,2019-2020,2,Talan,Msc1,44.08
3350,Giustina,Buffum,Giustina.Buffum@supinfo.com,1995-03-04,Tours,2019-2020,1,Enedis,Msc2,79.95
3351,Roslyn,Wooster,Roslyn.Wooster@supinfo.com,1997-03-19,Paris,2019-2020,1,Engie,Bsc,66.14
3352,Loree,Hollingsworth,Loree.Hollingsworth@supinfo.com,1999-01-15,Lille,2019-2020,2,SNCF,Msc1,58.84
3353,Eadie,Wattenberg,Eadie.Wattenberg@supinfo.com,1999-05-14,Lyon,2019-2020,2,Enedis,Bsc,94.59
3354,Joelly,Teryn,Joelly.Teryn@supinfo.com,1995-03-22,Tours,2019-2020,2,LCL,Bsc,91.51
3355,Abbie,Haymes,Abbie.Haymes@supinfo.com,1994-09-30,Lyon,2019-2020,2,Amazon,Msc2,56.14
3356,Tersina,Hazlett,Tersina.Hazlett@supinfo.com,1999-10-06,Lille,2019-2020,1,RTE,Msc1,32.59
3357,Carlie,Kamaria,Carlie.Kamaria@supinfo.com,1994-12-31,Tours,2019-2020,1,RTE,Msc2,49.06
3358,Corene,Hedve,Corene.Hedve@supinfo.com,1997-08-30,Tours,2019-2020,1,Enedis,Bsc,79.53
3359,Leanna,Dom,Leanna.Dom@supinfo.com,1995-04-09,Paris,2019-2020,2,SNCF,Bsc,60.01
3360,Frieda,Carolin,Frieda.Carolin@supinfo.com,1998-08-22,Paris,2019-2020,2,Carrefour,Msc1,71.52
3361,Ninnetta,Amadas,Ninnetta.Amadas@supinfo.com,1997-04-14,Tours,2019-2020,1,Engie,Msc2,59.44
3362,Starla,Cressida,Starla.Cressida@supinfo.com,1996-02-23,Paris,2019-2020,2,Enedis,Bsc,41.41
3363,Belva,Stav,Belva.Stav@supinfo.com,1994-11-05,Tours,2019-2020,2,BNP Paribas,Msc1,74.07
3364,Brena,Tremayne,Brena.Tremayne@supinfo.com,1996-01-31,Lille,2019-2020,1,BNP Paribas,Msc2,43.53
3365,Cherilyn,Peti,Cherilyn.Peti@supinfo.com,1998-09-26,Lille,2019-2020,1,Capgemini,Bsc,82.58
3366,Claudina,Ricki,Claudina.Ricki@supinfo.com,1998-05-19,Lyon,2019-2020,1,Carrefour,Bsc,40.87
3367,Misha,Waldron,Misha.Waldron@supinfo.com,1998-02-09,Paris,2019-2020,1,Engie,Bsc,34.85
3368,Cindelyn,Terrence,Cindelyn.Terrence@supinfo.com,1996-11-17,Paris,2019-2020,1,EDF,Bsc,82.53
3369,Sheree,Raseda,Sheree.Raseda@supinfo.com,1995-04-05,Lyon,2019-2020,1,SNCF,Msc1,76.45
3370,Jerry,Gaynor,Jerry.Gaynor@supinfo.com,1997-01-18,Lyon,2019-2020,2,Carrefour,Msc1,70.53
3371,Alyda,Taima,Alyda.Taima@supinfo.com,1997-01-05,Paris,2019-2020,1,Capgemini,Bsc,68.7
3372,Willetta,Tjon,Willetta.Tjon@supinfo.com,1998-03-14,Lyon,2019-2020,1,Carrefour,Msc1,90.08
3373,Nikki,Sophronia,Nikki.Sophronia@supinfo.com,1994-01-06,Lille,2019-2020,2,RTE,Msc1,39.93
3374,Lauryn,Dituri,Lauryn.Dituri@supinfo.com,1999-01-31,Tours,2019-2020,2,SNCF,Bsc,84.53
